iter	Passed	Remaining
0	0	743
1	1	639
2	1	625
3	2	639
4	3	622
5	3	615
6	4	598
7	4	600
8	5	602
9	5	591
10	6	587
11	7	596
12	7	593
13	8	591
14	8	589
15	9	582
16	9	576
17	10	570
18	10	565
19	11	563
20	11	559
21	12	556
22	12	552
23	13	547
24	13	542
25	14	538
26	14	534
27	15	531
28	15	529
29	16	530
30	16	531
31	17	531
32	18	532
33	18	529
34	19	529
35	19	528
36	20	524
37	20	521
38	21	520
39	21	521
40	22	521
41	22	521
42	23	521
43	23	520
44	24	520
45	25	519
46	25	518
47	26	518
48	26	517
49	27	516
50	27	516
51	28	513
52	28	511
53	29	509
54	29	509
55	30	508
56	30	508
57	31	507
58	31	507
59	32	506
60	32	506
61	33	505
62	33	504
63	34	504
64	34	503
65	35	501
66	35	500
67	36	498
68	36	497
69	37	501
70	38	501
71	38	500
72	39	500
73	39	498
74	40	497
75	40	496
76	41	494
77	41	493
78	42	493
79	42	491
80	43	491
81	43	490
82	44	486
83	44	485
84	45	484
85	45	483
86	46	483
87	46	483
88	47	482
89	47	481
90	48	479
91	48	479
92	49	478
93	49	477
94	49	475
95	50	474
96	50	473
97	51	472
98	51	471
99	52	470
100	52	470
101	53	469
102	53	469
103	54	468
104	54	467
105	55	466
106	55	465
107	56	464
108	56	463
109	57	462
110	57	461
111	58	461
112	58	460
113	59	459
114	59	458
115	60	457
116	60	455
117	60	454
118	61	453
119	61	452
120	62	451
121	62	450
122	63	449
123	63	448
124	63	447
125	64	446
126	64	444
127	65	443
128	65	442
129	66	442
130	66	441
131	67	440
132	67	440
133	68	442
134	69	442
135	69	442
136	70	441
137	70	440
138	71	439
139	71	439
140	72	438
141	72	437
142	73	437
143	73	437
144	74	437
145	74	438
146	75	438
147	76	437
148	76	437
149	77	437
150	77	437
151	78	436
152	78	435
153	79	435
154	79	434
155	80	434
156	80	434
157	81	433
158	81	432
159	82	431
160	82	430
161	83	430
162	83	430
163	84	429
164	84	429
165	85	428
166	85	428
167	86	427
168	87	427
169	87	427
170	88	427
171	88	426
172	89	426
173	89	425
174	90	424
175	90	424
176	91	423
177	91	423
178	92	422
179	92	421
180	93	421
181	93	420
182	94	420
183	94	421
184	95	420
185	95	419
186	96	418
187	96	417
188	97	417
189	97	417
190	98	416
191	98	416
192	99	416
193	100	416
194	100	415
195	101	414
196	101	414
197	102	414
198	102	414
199	103	413
200	103	413
201	104	412
202	104	412
203	105	411
204	105	410
205	106	410
206	106	409
207	107	409
208	108	408
209	108	408
210	109	407
211	109	407
212	110	407
213	110	406
214	111	406
215	111	405
216	112	404
217	112	404
218	113	404
219	113	403
220	114	405
221	115	405
222	116	405
223	116	404
224	117	403
225	117	403
226	118	402
227	118	402
228	119	402
229	119	401
230	120	400
231	120	400
232	121	399
233	121	399
234	122	398
235	122	397
236	123	397
237	123	396
238	124	395
239	124	394
240	125	394
241	125	393
242	126	392
243	126	392
244	126	391
245	127	390
246	127	389
247	128	389
248	129	389
249	129	389
250	130	388
251	130	388
252	131	388
253	131	387
254	132	387
255	133	386
256	133	386
257	134	385
258	134	385
259	135	385
260	135	384
261	136	383
262	136	383
263	137	382
264	137	382
265	138	381
266	138	380
267	139	380
268	139	379
269	140	378
270	140	378
271	141	377
272	141	377
273	142	376
274	142	376
275	143	375
276	143	375
277	144	375
278	145	375
279	145	375
280	146	374
281	147	374
282	147	373
283	147	373
284	148	372
285	149	372
286	149	371
287	150	370
288	150	370
289	150	369
290	151	368
291	151	368
292	152	367
293	152	367
294	153	366
295	153	365
296	154	365
297	154	364
298	155	363
299	155	363
300	156	362
301	156	361
302	156	361
303	157	360
304	158	360
305	159	360
306	159	360
307	160	360
308	160	359
309	161	359
310	161	358
311	162	358
312	162	357
313	163	356
314	163	356
315	164	355
316	164	355
317	165	354
318	165	354
319	166	353
320	166	353
321	167	352
322	168	352
323	168	351
324	168	350
325	169	350
326	169	349
327	170	348
328	170	348
329	171	347
330	171	347
331	172	346
332	172	346
333	173	345
334	173	345
335	174	344
336	175	344
337	175	343
338	176	343
339	176	342
340	177	342
341	177	341
342	178	341
343	178	340
344	179	340
345	179	339
346	180	339
347	180	338
348	181	337
349	181	337
350	181	336
351	182	335
352	183	335
353	183	334
354	183	334
355	184	333
356	184	333
357	185	332
358	185	331
359	186	331
360	186	330
361	187	330
362	188	330
363	188	329
364	189	329
365	189	328
366	190	328
367	191	328
368	191	327
369	192	327
370	192	326
371	193	325
372	193	325
373	193	324
374	194	323
375	194	323
376	195	322
377	195	322
378	196	321
379	196	320
380	197	320
381	197	319
382	198	319
383	198	318
384	199	318
385	199	317
386	200	316
387	200	316
388	201	315
389	201	315
390	202	314
391	202	314
392	203	313
393	203	313
394	204	312
395	204	312
396	205	311
397	205	311
398	206	310
399	206	310
400	207	309
401	207	308
402	208	308
403	208	307
404	208	307
405	209	306
406	209	305
407	210	304
408	210	304
409	210	303
410	211	302
411	211	302
412	212	301
413	212	301
414	213	300
415	213	299
416	214	299
417	214	298
418	215	298
419	215	297
420	216	297
421	216	296
422	217	296
423	217	295
424	217	294
425	218	294
426	218	293
427	219	292
428	219	292
429	220	291
430	220	291
431	221	290
432	221	290
433	221	289
434	222	288
435	222	288
436	223	287
437	223	286
438	224	286
439	224	285
440	224	285
441	225	284
442	225	283
443	226	283
444	226	282
445	227	282
446	227	281
447	227	280
448	228	280
449	228	279
450	229	279
451	229	278
452	230	278
453	230	277
454	231	276
455	231	276
456	232	275
457	232	275
458	232	274
459	233	273
460	233	273
461	234	272
462	234	272
463	235	271
464	235	271
465	236	270
466	236	270
467	237	269
468	237	269
